2022-11-02 13:05:31,649 INFO    MainThread:799440 [wandb_setup.py:_flush():68] Configure stats pid to 799440
2022-11-02 13:05:31,650 INFO    MainThread:799440 [wandb_setup.py:_flush():68] Loading settings from /usagers1/cohub/.config/wandb/settings
2022-11-02 13:05:31,650 INFO    MainThread:799440 [wandb_setup.py:_flush():68] Loading settings from /home/travail/Code/Static_Gesture/wandb/settings
2022-11-02 13:05:31,650 INFO    MainThread:799440 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-02 13:05:31,650 INFO    MainThread:799440 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/travail/Code/Static_Gesture/main.py'}
2022-11-02 13:05:31,650 INFO    MainThread:799440 [wandb_init.py:_log_setup():476] Logging user logs to /home/travail/Code/Static_Gesture/wandb/run-20221102_130531-b5m5p0p8/logs/debug.log
2022-11-02 13:05:31,650 INFO    MainThread:799440 [wandb_init.py:_log_setup():477] Logging internal logs to /home/travail/Code/Static_Gesture/wandb/run-20221102_130531-b5m5p0p8/logs/debug-internal.log
2022-11-02 13:05:31,650 INFO    MainThread:799440 [wandb_init.py:init():516] calling init triggers
2022-11-02 13:05:31,651 INFO    MainThread:799440 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'device': 'cuda', 'gpu_num': '0', 'num_workers': 1, 'batch_size': 10, 'num_epochs': 20, 'learning_rate': 0.0001, 'test_every': 10, 'dropout': 0.3, 'num_classes': 29, 'dataset': 'HGD', 'dataset_path': '/home/travail/Dataset/ndrczc35bt-1', 'checkpoint_dir': '/home/travail/Code/LSTM2/checkpoint'}
2022-11-02 13:05:31,651 INFO    MainThread:799440 [wandb_init.py:init():569] starting backend
2022-11-02 13:05:31,651 INFO    MainThread:799440 [wandb_init.py:init():573] setting up manager
2022-11-02 13:05:31,663 INFO    MainThread:799440 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-02 13:05:31,669 INFO    MainThread:799440 [wandb_init.py:init():580] backend started and connected
2022-11-02 13:05:31,673 INFO    MainThread:799440 [wandb_init.py:init():658] updated telemetry
2022-11-02 13:05:31,673 INFO    MainThread:799440 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-02 13:05:31,888 INFO    MainThread:799440 [wandb_run.py:_on_init():2000] communicating current version
2022-11-02 13:05:31,924 INFO    MainThread:799440 [wandb_run.py:_on_init():2004] got version response 
2022-11-02 13:05:31,924 INFO    MainThread:799440 [wandb_init.py:init():728] starting run threads in backend
2022-11-02 13:05:31,980 INFO    MainThread:799440 [wandb_run.py:_console_start():1980] atexit reg
2022-11-02 13:05:31,980 INFO    MainThread:799440 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-02 13:05:31,980 INFO    MainThread:799440 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-02 13:05:31,980 INFO    MainThread:799440 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-02 13:05:31,981 INFO    MainThread:799440 [wandb_init.py:init():765] run started, returning control to user process
